ScenarioID,ParallelShift_bps,TwistFactor_bps,ButterflyFactor_bps,PnL_DurationEffect_INR,PnL_ConvexityEffect_INR,PnL_Total_INR,PnL_Pct,VaR_Contribution
866,299.21,-29.88,-26.84,-4031810.81,632306.9,-3399503.91,-10.6038,3399503.91
447,287.87,6.46,-9.38,-3879027.35,585292.98,-3293734.37,-10.2739,3293734.37
548,278.7,87.55,-18.61,-3755455.28,548596.23,-3206859.05,-10.0029,3206859.05
445,259.51,-16.29,34.03,-3496840.25,475640.93,-3021199.32,-9.4238,3021199.32
271,250.23,66.97,-2.63,-3371831.55,442241.38,-2929590.18,-9.138,2929590.18
796,248.33,64.99,72.65,-3346275.2,435562.96,-2910712.24,-9.0791,2910712.24
700,247.96,-44.76,-45.62,-3341276.95,434262.75,-2907014.2,-9.0676,2907014.2
418,246.84,61.77,-9.18,-3326204.85,430353.77,-2895851.07,-9.0328,2895851.07
871,240.22,-40.39,15.0,-3236900.43,407555.08,-2829345.35,-8.8253,2829345.35
241,217.89,-0.12,4.6,-2936086.23,335324.47,-2600761.77,-8.1123,2600761.77
